Chrysolophus amherstiae ;58
Chrysolophus pictus ;58
Ciconia ciconia ;84
Ciconia nigra ;84
Cinclus cinclus ;272
Cinnyris osea ;358
Circaetus gallicus ;100
Circus aeruginosus ;102
Circus evaneus ;104
Circus macrourus ;104
Circus pygargus ;104
Cirlgors / Cirl Bunting ;398
Cisticola juncidis ;314
Citroensijs / Citril Finch ;380
Citroenkwikstaart / Citrine Wagtail ;270
Clamator glandarius ;220
Clangula hyemalis ;40
Coccothraustes coccothraustes ;384
Cocevzus americanus ;220 erythropthalmus ;220
Colaptes auratus ;420
Colinus virginianus ;423
Columba bollii ;216 
Columba eversmanni ;420
Columba junoniae ;216
Columba livia ;214
Columba livia (gedomesticeerd) ;214
Columba oenas ;214
Columba palumbus ;214
Columba trocaz ;216
Coracias garrulus ;240
Coromandeleend / Cotton Pygmy Goose ;418
Corsicaanse Boomklever / Corsican Nuthatch ;348
Corsicaanse Citroensiis / Corsican Finch ;380
Corvus corax ;366
Corvus cornix ;366
Corvus corone ;366
Corvus dauuricus ;416
Corvus frugilegus ;366
Corvus monedula ;364
Corvus rhipidurus ;368
Corvus ruficollis ;368
Corvus splendens ;368
Coturnix coturnix ;56
Crer crex ;56
Crex egregia ;419
Cuculus canorus ;220
Cuculus optatus ;220
Cursorius cursor ;136
Cyanistes caeruleus ;342
Cyanistes cyanus ;342
Cyanistes teneriffae ;342
Cyanistes ultramarinus ;342
Cranopica cooki ;360
Cranopica cyanus ;360
Cygnus atratus ;422
Cygnus bewickii ;14
Cygnus columbianus ;14
Cygnus cygnus ;14
Cygnus olor ;14
Cyprusdwergooruil / Cyprus Scops Owl ;232
Cyprusgrasmus / Cyprus Warbler ;306
Cyprustapuit / Cyprus Wheatear ;284
Daption capense ;418
Daurische Kauw / Daurian Jackdaw ;416
Daurische Klauwier / Daurian Shrike ;354
Daurische Spreeuw / Daurian Starling ;421
Delichon urbicum ;260
Dendrocopos leucotos ;246
Dendrocopos (leucotos) lilfordi ;246
Dendrocopos major ;244
Dendrocopos medius ;244
Dendrocopos minor ;246
Dendrocopos svriacus ;244
Dendrocy gna bicolor ;418
Dendrocy javanica ;418
Diadeemroodstaart / Mous-sier's Redstart ;280
Dickcissel / Dickcissel ;421
Dicrurus leucophaeus ;420
Diederikkoekoek / Diederik
Cuckoo ;420
dikbek, Avond-;416 
Dikbekfuut / Pied-billed Grebe ;64
Diksnavelleeuwerik /Thick-billed Lark ;254
Diksnavelrietzanger /Thick-billed Warbler ;322
Diomedea dabbenena ;418
Dodaars / Little Grebe ;64
Dolichonyx oryzivorus ;406
